,equity,drawdown,capital
2021-07-02,133312.13633814154,-0.06904292750223,135269.8996477689
2021-07-05,133759.22641472606,-0.06592076863303153,135269.8996477689
2021-07-06,133102.13109027568,-0.07050945467771894,135269.8996477689
2021-07-07,133653.81607021036,-0.06665687945112242,135269.8996477689
2021-07-08,132810.48557529785,-0.07254609936955851,135269.8996477689
2021-07-09,133793.72419535636,-0.06567986068762288,135269.8996477689
2021-07-12,136374.33723027396,-0.04765869605679913,135269.8996477689
2021-07-13,136175.35368081,-0.0490482555355725,135269.8996477689
2021-07-14,133494.3611263336,-0.06777039928378258,135269.8996477689
2021-07-15,134253.8089477241,-0.06246695625198545,135269.8996477689
2021-07-16,131703.95094181216,-0.08027334965076564,135269.8996477689
2021-07-19,129838.53908245674,-0.09330005833078611,135269.8996477689
2021-07-20,127977.97437032546,-0.10629291798465113,135269.8996477689
2021-07-21,129657.36689408468,-0.09456523594130056,135269.8996477689
2021-07-22,131090.6498691045,-0.08455620781275215,135269.8996477689
2021-07-23,132240.9231384005,-0.07652351803093012,135269.8996477689
2021-07-26,130658.70388968605,-0.08757261108646919,135269.8996477689
2021-07-27,131492.6711025227,-0.08174877766554003,135269.8996477689
2021-07-28,130259.52914365332,-0.09036016339182784,135269.8996477689
2021-07-29,130086.76131554352,-0.09156665093224896,135269.8996477689
2021-07-30,131069.28936959158,-0.08470537433757021,135269.8996477689
2021-08-02,130645.6701235812,-0.08766362963189109,135269.8996477689
2021-08-03,131973.8454851281,-0.07838859826330584,135269.8996477689
2021-08-04,132367.62988258366,-0.07563868831571749,135269.8996477689
2021-08-05,129794.2916945249,-0.09360905059410277,135269.8996477689
2021-08-06,128912.72437267425,-0.0997652892960174,135269.8996477689
2021-08-09,129555.6789551568,-0.09527535212826578,135269.8996477689
2021-08-10,128625.47203813441,-0.1017712551426156,135269.8996477689
2021-08-11,127987.50809980182,-0.10622634120381863,135269.8996477689
2021-08-12,129394.5666854572,-0.09640044554483644,135269.8996477689
2021-08-13,128600.19438223205,-0.10194777629953998,135269.8996477689
2021-08-16,125493.66489219209,-0.12364156712095492,135269.8996477689
2021-08-17,127726.51940117808,-0.10804890051086834,135269.8996477689
2021-08-18,129106.33209090651,-0.09841327079620649,135269.8996477689
2021-08-19,130079.91844812038,-0.09161443664777885,135269.8996477689
2021-08-20,128733.67121980479,-0.10101566907084929,135269.8996477689
2021-08-23,129037.5183266068,-0.09889381714644659,135269.8996477689
2021-08-24,127835.1429238068,-0.10729035114388255,135269.8996477689
